Meter_Id,Meter_Id(prefix removed),Cleaned_Date,Weekday,Weekday(number),Week_Number,Region_Code,District,Dwelling_Type,Labeled_Dwelling_type,Num_Occupants,House_Area (sqft),Appliance_Score,Appliance_Score_Grouped,Connected_Load(kw),Load_category(labeled),Temperature_C,Temparature_category,Humidity (%),Cleaned_Expected_Energy(kwh),Cleaned_Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage,Pattern_Usage,,,
IN-KL-ELC-13631731,13631731,1/24/2023,Tuesday,3,4,IN_KL_ALP,Alappuzha,Apartment,2,3,1207,9,Low,3.03,2,31.27,>30,78.35,12.15,12.82,5.51%,16.47,0,0,,,
IN-KL-ELC-72602002,72602002,1/18/2023,Wednesday,4,3,IN_KL_ALP,Alappuzha,Villa,1,3,2543,7,Low,3.68,2,27.19,25-30,80.23,11.22,12.34,9.98%,16.26,0,0,,,
IN-KL-ELC-34699748,34699748,1/16/2023,Monday,2,3,IN_KL_ERN,Ernakulam,Independent House,0,1,2168,13,Medium,4.28,2,30.73,>30,46.03,12.19,18.68,53.22%,16.43,1,1,,,
IN-KL-ELC-11739503,11739503,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Apartment,2,2,866,21,High,6.44,3,25.64,25-30,66.96,16.43,32.38,97.07%,16.61,1,1,,,
IN-KL-ELC-62801448,62801448,1/2/2023,Monday,2,1,IN_KL_ALP,Alappuzha,Independent House,0,5,1750,16,High,7.82,3,37.18,>30,50.2,22.34,23.23,3.98%,17.83,1,1,,,
IN-KL-ELC-65873763,65873763,1/3/2023,Tuesday,3,1,IN_KL_ERN,Ernakulam,Apartment,2,3,513,9,Low,5.83,3,25.15,25-30,54.91,13.00,13.82,6.31%,16.61,0,1,,,
IN-KL-ELC-86684493,86684493,1/5/2023,Thursday,5,1,IN_KL_ALP,Alappuzha,Independent House,0,5,2781,14,Medium,3.77,2,30.58,>30,45.67,16.57,26.38,59.20%,17.83,1,1,,,
IN-KL-ELC-11063908,11063908,1/7/2023,Saturday,7,1,IN_KL_ALP,Alappuzha,Apartment,2,4,1364,9,Low,7.04,3,30.14,>30,70.51,16.06,21.03,30.97%,16.47,1,1,,,
IN-KL-ELC-56602744,56602744,1/5/2023,Thursday,5,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,814,13,Medium,6.80,3,23.87,<25,68.97,16.66,17.53,5.22%,16.89,0,1,,,
IN-KL-ELC-52308792,52308792,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Independent House,0,5,1614,17,High,6.43,3,27.94,25-30,76.93,18.87,18.60,-1.43%,16.43,0,0,,,
IN-KL-ELC-77385755,77385755,1/3/2023,Tuesday,3,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,484,19,High,6.29,3,31.29,>30,69.41,19.33,34.51,78.55%,17.26,1,1,,,
IN-KL-ELC-13197583,13197583,1/23/2023,Monday,2,4,IN_KL_ERN,Ernakulam,Apartment,2,6,1997,6,Low,4.61,2,27.59,25-30,65.8,14.80,16.85,13.85%,16.61,0,1,,,
IN-KL-ELC-85075398,85075398,1/12/2023,Thursday,5,2,IN_KL_ALP,Alappuzha,Apartment,2,6,845,7,Low,6.52,3,31.81,>30,73.52,17.60,16.55,-5.97%,16.47,0,0,,,
IN-KL-ELC-19889775,19889775,1/10/2023,Tuesday,3,2,IN_KL_ERN,Ernakulam,Apartment,2,1,1963,10,Low,7.11,3,31.25,>30,76.96,13.38,13.09,-2.17%,16.61,0,1,,,
IN-KL-ELC-21680006,21680006,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Independent House,0,6,1352,17,High,2.52,1,34.25,>30,63.66,18.76,28.09,49.73%,16.43,1,1,,,
IN-KL-ELC-38129282,38129282,1/9/2023,Monday,2,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,1,2558,19,High,3.39,2,30.63,>30,83.25,13.62,15.85,16.38%,17.26,0,1,,,
IN-KL-ELC-48444075,48444075,1/16/2023,Monday,2,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,1207,13,Medium,6.70,3,37.12,>30,66.68,20.23,19.09,-5.64%,16.89,0,0,,,
IN-KL-ELC-88053158,88053158,1/19/2023,Thursday,5,3,IN_KL_ALP,Alappuzha,Apartment,2,5,1052,7,Low,5.22,3,28.38,25-30,67.98,14.70,16.84,14.56%,16.47,0,0,,,
IN-KL-ELC-39624628,39624628,1/29/2023,Sunday,1,5,IN_KL_TVM,Thiruvananthapuram,Independent House,0,2,1836,13,Medium,4.20,2,31.83,>30,63.76,16.89,12.92,-23.51%,16.89,0,0,,,
IN-KL-ELC-24569037,24569037,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Villa,1,4,1470,6,Low,6.43,3,24.75,<25,58.24,13.38,15.66,17.04%,16.28,0,0,,,
IN-KL-ELC-29058334,29058334,1/18/2023,Wednesday,4,3,IN_KL_ERN,Ernakulam,Independent House,0,2,816,17,High,5.71,3,35.11,>30,57.88,16.83,15.89,-5.59%,16.43,0,0,,,
IN-KL-ELC-75763311,75763311,1/22/2023,Sunday,1,4,IN_KL_TVM,Thiruvananthapuram,Villa,1,2,2736,10,Low,7.84,3,30.91,>30,54.97,14.98,15.95,6.48%,16.02,0,0,,,
IN-KL-ELC-19889775,19889775,1/12/2023,Thursday,5,2,IN_KL_ERN,Ernakulam,Apartment,2,1,1963,10,Low,7.11,3,24.31,<25,52.53,12.01,12.47,3.83%,16.61,0,1,,,
IN-KL-ELC-56920957,56920957,1/30/2023,Monday,2,5,IN_KL_ERN,Ernakulam,Apartment,2,1,2256,13,Medium,5.17,3,30.16,>30,57.86,12.76,12.95,1.49%,16.61,0,1,,,
IN-KL-ELC-31295740,31295740,1/28/2023,Saturday,7,4,IN_KL_ALP,Alappuzha,Independent House,0,4,1454,12,Medium,7.78,3,26.57,25-30,67.83,16.73,0.00,-100.00%,17.83,1,0,,,
IN-KL-ELC-76999375,76999375,1/2/2023,Monday,2,1,IN_KL_ERN,Ernakulam,Villa,1,2,574,16,High,4.06,2,27.05,25-30,80.18,13.42,12.90,-3.87%,16.28,0,0,,,
IN-KL-ELC-56902115,56902115,1/9/2023,Monday,2,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2758,21,High,6.70,3,33.86,>30,63.85,21.13,0.00,-100.00%,17.26,1,0,,,
IN-KL-ELC-57223180,57223180,1/23/2023,Monday,2,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,1213,16,High,4.88,2,22.84,<25,63.48,16.03,15.28,-4.68%,16.89,0,1,,,
IN-KL-ELC-82667810,82667810,1/25/2023,Wednesday,4,4,IN_KL_ERN,Ernakulam,Independent House,0,2,1459,9,Low,4.38,2,37.41,>30,53.67,13.15,10.48,-20.30%,16.43,1,0,,,
IN-KL-ELC-50932588,50932588,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Apartment,2,6,578,10,Low,7.84,3,30.22,>30,58.05,19.24,35.32,83.59%,16.61,1,1,,,
IN-KL-ELC-36954958,36954958,1/26/2023,Thursday,5,4,IN_KL_ALP,Alappuzha,Villa,1,2,1580,8,Low,4.81,2,26.81,25-30,52.52,11.24,20.66,83.83%,16.26,1,1,,,
IN-KL-ELC-88053158,88053158,1/17/2023,Tuesday,3,3,IN_KL_ALP,Alappuzha,Apartment,2,5,1052,7,Low,5.22,3,24.63,<25,72.61,16.47,20.09,21.98%,16.47,1,0,,,
IN-KL-ELC-30481737,30481737,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Independent House,0,6,1967,7,Low,7.30,3,25.74,25-30,73.63,16.59,15.63,-5.79%,16.43,0,0,,,
IN-KL-ELC-91609437,91609437,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,6,1529,6,Low,3.62,2,32.80,>30,63.08,15.23,24.79,62.80%,17.26,1,1,,,
IN-KL-ELC-77596010,77596010,1/7/2023,Saturday,7,1,IN_KL_ERN,Ernakulam,Apartment,2,1,2316,6,Low,2.69,1,28.34,25-30,78.84,8.21,8.27,0.73%,16.61,1,1,,,
IN-KL-ELC-37445126,37445126,1/28/2023,Saturday,7,4,IN_KL_ALP,Alappuzha,Apartment,2,1,1744,19,High,6.70,3,27.43,25-30,59.71,15.36,17.25,12.30%,16.47,0,0,,,
IN-KL-ELC-62444510,62444510,1/5/2023,Thursday,5,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,5,2590,13,Medium,4.06,2,27.06,25-30,78.36,15.58,15.06,-3.34%,17.26,0,1,,,
IN-KL-ELC-62801448,62801448,1/28/2023,Saturday,7,4,IN_KL_ALP,Alappuzha,Independent House,0,5,1750,16,High,7.82,3,34.57,>30,77.3,21.55,20.12,-6.64%,17.83,0,0,,,
IN-KL-ELC-34853140,34853140,1/3/2023,Tuesday,3,1,IN_KL_ERN,Ernakulam,Villa,1,4,1789,12,Medium,6.35,3,21.98,<25,82.37,14.57,16.36,12.29%,16.28,0,0,,,
IN-KL-ELC-25353404,25353404,1/29/2023,Sunday,1,5,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,922,12,Medium,5.88,3,26.23,25-30,49.24,16.89,12.28,-27.29%,16.89,0,0,,,
IN-KL-ELC-57963776,57963776,1/25/2023,Wednesday,4,4,IN_KL_ERN,Ernakulam,Apartment,2,5,1156,8,Low,4.59,2,25.07,25-30,57.23,13.84,13.22,-4.48%,16.61,0,1,,,
IN-KL-ELC-78608630,78608630,1/26/2023,Thursday,5,4,IN_KL_ALP,Alappuzha,Apartment,2,3,1555,12,Medium,3.26,2,25.66,25-30,72.76,12.29,19.89,61.85%,16.47,1,1,,,
IN-KL-ELC-28743962,28743962,1/17/2023,Tuesday,3,3,IN_KL_ERN,Ernakulam,Independent House,0,6,1543,15,Medium,5.27,3,27.20,25-30,50.76,18.20,24.89,36.78%,16.43,1,1,,,
IN-KL-ELC-68653537,68653537,1/23/2023,Monday,2,4,IN_KL_ALP,Alappuzha,Villa,1,4,589,19,High,4.61,2,31.89,>30,47.49,18.21,19.19,5.38%,16.26,0,0,,,
IN-KL-ELC-56602744,56602744,1/7/2023,Saturday,7,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,814,13,Medium,6.80,3,26.14,25-30,76.9,17.29,19.65,13.65%,16.89,0,1,,,
IN-KL-ELC-41305805,41305805,1/8/2023,Sunday,1,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,845,18,High,4.33,2,37.77,>30,49.28,15.46,22.40,44.89%,16.89,1,1,,,
IN-KL-ELC-74114522,74114522,1/12/2023,Thursday,5,2,IN_KL_ERN,Ernakulam,Apartment,2,1,1440,9,Low,5.98,3,28.61,25-30,59.3,11.69,24.15,106.56%,16.61,1,1,,,
IN-KL-ELC-95384842,95384842,1/16/2023,Monday,2,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,3,992,13,Medium,7.19,3,33.77,>30,72.06,17.37,17.77,2.30%,16.89,0,1,,,
IN-KL-ELC-95024504,95024504,1/2/2023,Monday,2,1,IN_KL_ALP,Alappuzha,Apartment,2,6,1523,16,High,7.42,3,35.40,>30,66.24,22.66,0.00,-100.00%,16.47,1,0,,,
IN-KL-ELC-82667810,82667810,1/27/2023,Friday,6,4,IN_KL_ERN,Ernakulam,Independent House,0,2,1459,9,Low,4.38,2,24.38,<25,80.95,16.43,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-20774414,20774414,1/22/2023,Sunday,1,4,IN_KL_ALP,Alappuzha,Independent House,0,6,1967,18,High,7.83,3,25.41,25-30,54.53,20.46,0.00,-100.00%,17.83,1,0,,,
IN-KL-ELC-19196471,19196471,1/24/2023,Tuesday,3,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,1080,7,Low,5.09,3,23.69,<25,81.04,12.56,11.03,-12.18%,17.26,1,0,,,
IN-KL-ELC-89330274,89330274,1/9/2023,Monday,2,2,IN_KL_ERN,Ernakulam,Independent House,0,2,2501,18,High,6.94,3,34.50,>30,80.23,18.05,16.43,-8.98%,16.43,0,0,,,
IN-KL-ELC-13631731,13631731,1/15/2023,Sunday,1,3,IN_KL_ALP,Alappuzha,Apartment,2,3,1207,9,Low,3.03,2,14.01,<25,76.35,9.06,15.26,68.42%,16.47,1,1,,,
IN-KL-ELC-66313716,66313716,1/14/2023,Saturday,7,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,2729,16,High,7.47,3,18.56,<25,69.97,16.89,29.64,75.52%,16.89,1,1,,,
IN-KL-ELC-74974591,74974591,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Apartment,2,6,1762,6,Low,7.17,3,29.22,25-30,65.65,17.07,28.44,66.63%,16.61,1,1,,,
IN-KL-ELC-16244556,16244556,1/16/2023,Monday,2,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,6,2420,18,High,5.00,2,21.04,<25,48.48,17.18,27.26,58.69%,16.89,1,1,,,
IN-KL-ELC-28113115,28113115,1/21/2023,Saturday,7,3,IN_KL_ALP,Alappuzha,Independent House,0,3,2295,9,Low,7.98,3,28.78,25-30,60.62,15.35,15.54,1.24%,17.83,0,1,,,
IN-KL-ELC-92753493,92753493,1/25/2023,Wednesday,4,4,IN_KL_ERN,Ernakulam,Apartment,2,5,2546,17,High,7.11,3,33.02,>30,52.06,20.89,21.41,2.49%,16.61,0,1,,,
IN-KL-ELC-45560016,45560016,1/25/2023,Wednesday,4,4,IN_KL_ERN,Ernakulam,Apartment,2,5,2466,15,Medium,2.99,1,29.23,25-30,81.83,16.01,17.21,7.50%,16.61,0,1,,,
IN-KL-ELC-57403818,57403818,1/13/2023,Friday,6,2,IN_KL_ERN,Ernakulam,Independent House,0,4,2389,10,Low,2.99,1,31.73,>30,71.87,13.69,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-72267329,72267329,1/23/2023,Monday,2,4,IN_KL_ERN,Ernakulam,Villa,1,2,1438,13,Medium,4.71,2,28.64,25-30,70.73,13.21,17.23,30.46%,16.28,1,1,,,
IN-KL-ELC-96802592,96802592,1/14/2023,Saturday,7,2,IN_KL_ALP,Alappuzha,Independent House,0,4,918,21,High,2.51,1,29.42,25-30,52.12,16.69,17.50,4.85%,17.83,0,1,,,
IN-KL-ELC-61443706,61443706,1/29/2023,Sunday,1,5,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,2500,9,Low,4.71,2,38.22,>30,54.21,17.28,28.02,62.13%,16.89,1,1,,,
IN-KL-ELC-69429201,69429201,1/7/2023,Saturday,7,1,IN_KL_ERN,Ernakulam,Villa,1,2,749,12,Medium,5.97,3,33.25,>30,58.53,14.76,24.04,62.86%,16.28,1,1,,,
IN-KL-ELC-39971016,39971016,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Independent House,0,6,617,8,Low,5.60,3,29.97,25-30,59.99,16.79,16.22,-3.39%,16.43,0,0,,,
IN-KL-ELC-97676491,97676491,1/8/2023,Sunday,1,2,IN_KL_ALP,Alappuzha,Apartment,2,3,634,12,Medium,3.21,2,32.71,>30,84.19,16.47,13.64,-17.18%,16.47,0,0,,,
IN-KL-ELC-62801448,62801448,1/22/2023,Sunday,1,4,IN_KL_ALP,Alappuzha,Independent House,0,5,1750,16,High,7.82,3,27.08,25-30,52.38,19.28,20.64,7.05%,17.83,0,1,,,
IN-KL-ELC-28113115,28113115,1/28/2023,Saturday,7,4,IN_KL_ALP,Alappuzha,Independent House,0,3,2295,9,Low,7.98,3,32.25,>30,60.6,16.16,16.95,4.89%,17.83,0,1,,,
IN-KL-ELC-18798620,18798620,1/4/2023,Wednesday,4,1,IN_KL_ERN,Ernakulam,Apartment,2,2,2704,7,Low,5.32,3,29.96,25-30,67.35,11.83,10.13,-14.37%,16.61,1,0,,,
IN-KL-ELC-39971016,39971016,1/30/2023,Monday,2,5,IN_KL_ERN,Ernakulam,Independent House,0,6,617,8,Low,5.60,3,35.72,>30,55.64,18.24,18.38,0.77%,16.43,0,0,,,
IN-KL-ELC-68910616,68910616,1/6/2023,Friday,6,1,IN_KL_ERN,Ernakulam,Independent House,0,6,2161,14,Medium,3.39,2,30.40,>30,50.61,17.35,20.14,16.09%,16.43,0,0,,,
IN-KL-ELC-47405775,47405775,1/4/2023,Wednesday,4,1,IN_KL_ERN,Ernakulam,Apartment,2,2,1840,6,Low,4.40,2,25.68,25-30,47.04,10.10,10.15,0.50%,16.61,1,1,,,
IN-KL-ELC-45032632,45032632,1/6/2023,Friday,6,1,IN_KL_ALP,Alappuzha,Apartment,2,3,2222,17,High,6.86,3,35.61,>30,49.81,19.08,21.80,14.24%,16.47,1,0,,,
IN-KL-ELC-25353404,25353404,1/18/2023,Wednesday,4,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,922,12,Medium,5.88,3,25.68,25-30,47.19,12.07,13.73,13.75%,16.89,0,1,,,
IN-KL-ELC-50138855,50138855,1/3/2023,Tuesday,3,1,IN_KL_ALP,Alappuzha,Apartment,2,2,1651,7,Low,6.12,3,28.63,25-30,70.35,12.18,12.74,4.60%,16.47,0,0,,,
IN-KL-ELC-68653537,68653537,1/28/2023,Saturday,7,4,IN_KL_ALP,Alappuzha,Villa,1,4,589,19,High,4.61,2,30.23,>30,51.18,17.77,16.64,-6.36%,16.26,0,0,,,
IN-KL-ELC-13794510,13794510,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,2791,20,High,4.67,2,30.89,>30,63.75,19.46,0.00,-100.00%,16.89,1,0,,,
IN-KL-ELC-24983334,24983334,1/1/2023,Sunday,1,1,IN_KL_ERN,Ernakulam,Apartment,2,2,1521,21,High,4.83,2,32.99,>30,61.52,17.11,32.07,87.43%,16.61,1,1,,,
IN-KL-ELC-56776126,56776126,1/9/2023,Monday,2,2,IN_KL_ALP,Alappuzha,Apartment,2,3,1435,18,High,4.74,2,29.37,25-30,68.18,16.20,0.00,-100.00%,16.47,1,0,,,
IN-KL-ELC-18259127,18259127,1/28/2023,Saturday,7,4,IN_KL_ALP,Alappuzha,Apartment,2,4,1173,10,Low,5.58,3,25.86,25-30,69.34,14.34,17.07,19.04%,16.47,1,0,,,
IN-KL-ELC-39971016,39971016,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Independent House,0,6,617,8,Low,5.60,3,33.45,>30,49.13,17.67,17.14,-3.00%,16.43,0,0,,,
IN-KL-ELC-73727430,73727430,1/24/2023,Tuesday,3,4,IN_KL_ALP,Alappuzha,Independent House,0,3,2307,18,High,5.22,3,24.66,<25,82.48,15.38,14.68,-4.55%,17.83,0,1,,,
IN-KL-ELC-35467398,35467398,1/16/2023,Monday,2,3,IN_KL_ERN,Ernakulam,Apartment,2,4,2759,11,Medium,6.07,3,36.05,>30,80.73,17.45,19.29,10.54%,16.61,0,1,,,
IN-KL-ELC-70413205,70413205,1/26/2023,Thursday,5,4,IN_KL_ALP,Alappuzha,Independent House,0,6,762,19,High,5.22,3,30.13,>30,76.93,20.40,34.77,70.42%,17.83,1,1,,,
IN-KL-ELC-90949802,90949802,1/19/2023,Thursday,5,3,IN_KL_ERN,Ernakulam,Apartment,2,5,849,18,High,3.87,2,30.81,>30,55.6,16.61,19.06,14.75%,16.61,0,1,,,
IN-KL-ELC-29028684,29028684,1/28/2023,Saturday,7,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2467,6,Low,3.00,1,30.60,>30,51.11,12.06,13.04,8.13%,17.26,0,1,,,
IN-KL-ELC-47405775,47405775,1/12/2023,Thursday,5,2,IN_KL_ERN,Ernakulam,Apartment,2,2,1840,6,Low,4.40,2,23.50,<25,55.36,9.75,12.66,29.90%,16.61,1,1,,,
IN-KL-ELC-76472409,76472409,1/15/2023,Sunday,1,3,IN_KL_TVM,Thiruvananthapuram,Villa,1,1,788,12,Medium,3.63,2,20.87,<25,46.55,9.69,9.43,-2.68%,16.02,1,0,,,
IN-KL-ELC-69957771,69957771,1/12/2023,Thursday,5,2,IN_KL_ERN,Ernakulam,Apartment,2,2,2148,13,Medium,5.81,3,35.86,>30,52.84,15.57,16.65,6.94%,16.61,0,1,,,
IN-KL-ELC-86829181,86829181,1/27/2023,Friday,6,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,977,15,Medium,3.88,2,28.36,25-30,46.16,14.30,15.11,5.66%,17.26,0,1,,,
IN-KL-ELC-96573799,96573799,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Villa,1,4,578,19,High,4.50,2,23.88,<25,74.05,16.01,15.54,-2.94%,16.28,0,0,,,
IN-KL-ELC-85075398,85075398,1/11/2023,Wednesday,4,2,IN_KL_ALP,Alappuzha,Apartment,2,6,845,7,Low,6.52,3,29.71,25-30,47.11,17.06,17.58,3.05%,16.47,0,0,,,
IN-KL-ELC-54052905,54052905,1/6/2023,Friday,6,1,IN_KL_ALP,Alappuzha,Villa,1,5,609,16,High,7.57,3,25.12,25-30,73.54,18.51,20.00,8.05%,16.26,0,0,,,
IN-KL-ELC-24470126,24470126,1/26/2023,Thursday,5,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,1902,19,High,7.82,3,34.60,>30,65.28,20.33,20.32,-0.05%,17.26,0,1,,,
IN-KL-ELC-77063678,77063678,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Independent House,0,5,1931,14,Medium,5.93,3,32.33,>30,47.82,18.68,19.97,6.91%,16.43,0,0,,,
IN-KL-ELC-69243360,69243360,1/7/2023,Saturday,7,1,IN_KL_ERN,Ernakulam,Villa,1,2,2649,7,Low,3.85,2,28.25,25-30,59.11,10.46,15.67,49.83%,16.28,1,1,,,
IN-KL-ELC-53303907,53303907,1/1/2023,Sunday,1,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,2,1690,20,High,3.99,2,23.92,<25,64.87,13.99,0.00,-100.00%,17.26,1,0,,,
IN-KL-ELC-30481737,30481737,1/14/2023,Saturday,7,2,IN_KL_ERN,Ernakulam,Independent House,0,6,1967,7,Low,7.30,3,31.10,>30,68.2,18.02,17.07,-5.27%,16.43,0,0,,,
IN-KL-ELC-16181633,16181633,1/22/2023,Sunday,1,4,IN_KL_ALP,Alappuzha,Independent House,0,6,2236,10,Low,6.01,3,23.49,<25,59.82,16.07,16.40,2.05%,17.83,0,1,,,
IN-KL-ELC-19196471,19196471,1/19/2023,Thursday,5,3,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,1080,7,Low,5.09,3,31.64,>30,68.21,14.21,0.00,-100.00%,17.26,1,0,,,
IN-KL-ELC-68343808,68343808,1/10/2023,Tuesday,3,2,IN_KL_ERN,Ernakulam,Apartment,2,2,2135,8,Low,5.80,3,31.72,>30,55.98,12.87,15.06,17.02%,16.61,0,1,,,
IN-KL-ELC-68897751,68897751,1/28/2023,Saturday,7,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,5,2084,17,High,4.30,2,27.14,25-30,76.9,17.11,22.98,34.33%,17.26,1,1,,,
IN-KL-ELC-88110681,88110681,1/30/2023,Monday,2,5,IN_KL_ERN,Ernakulam,Independent House,0,6,1114,15,Medium,4.17,2,28.86,25-30,66.73,17.87,30.53,70.86%,16.43,1,1,,,
IN-KL-ELC-57752628,57752628,1/10/2023,Tuesday,3,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,3,2777,7,Low,5.09,3,35.99,>30,61.48,13.92,15.31,9.99%,16.89,0,1,,,
IN-KL-ELC-52398780,52398780,1/10/2023,Tuesday,3,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,6,2298,13,Medium,7.37,3,39.61,>30,67.71,16.89,40.35,138.93%,16.89,1,1,,,
IN-KL-ELC-38900154,38900154,1/13/2023,Friday,6,2,IN_KL_ALP,Alappuzha,Independent House,0,5,1678,20,High,3.89,2,32.99,>30,80.52,19.45,19.76,1.59%,17.83,0,1,,,
IN-KL-ELC-96914194,96914194,1/6/2023,Friday,6,1,IN_KL_ERN,Ernakulam,Apartment,2,4,1982,14,Medium,7.53,3,31.46,>30,46.6,16.61,17.90,7.77%,16.61,0,1,,,
IN-KL-ELC-18533227,18533227,1/18/2023,Wednesday,4,3,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2790,21,High,4.08,2,27.58,25-30,45.52,17.36,17.47,0.63%,17.26,0,1,,,
IN-KL-ELC-96616497,96616497,1/26/2023,Thursday,5,4,IN_KL_ERN,Ernakulam,Apartment,2,2,2478,8,Low,3.98,2,29.03,25-30,71.07,11.02,10.96,-0.54%,16.61,1,1,,,
IN-KL-ELC-61981697,61981697,1/30/2023,Monday,2,5,IN_KL_ERN,Ernakulam,Independent House,0,4,905,14,Medium,4.55,2,26.21,25-30,83.99,15.01,16.58,10.46%,16.43,0,0,,,
IN-KL-ELC-39176775,39176775,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Independent House,0,6,2654,12,Medium,2.98,1,30.82,>30,66.46,16.44,15.33,-6.75%,16.43,0,0,,,
IN-KL-ELC-92753493,92753493,1/19/2023,Thursday,5,3,IN_KL_ERN,Ernakulam,Apartment,2,5,2546,17,High,7.11,3,27.72,25-30,53.37,19.30,18.59,-3.68%,16.61,0,1,,,
IN-KL-ELC-13710935,13710935,1/19/2023,Thursday,5,3,IN_KL_ALP,Alappuzha,Villa,1,1,2140,8,Low,4.46,2,34.12,>30,84.41,11.09,10.01,-9.74%,16.26,1,0,,,
IN-KL-ELC-28357262,28357262,1/17/2023,Tuesday,3,3,IN_KL_ERN,Ernakulam,Independent House,0,4,821,17,High,6.91,3,32.74,>30,78.69,19.50,28.47,45.98%,16.43,1,1,,,
IN-KL-ELC-39857022,39857022,1/20/2023,Friday,6,3,IN_KL_ALP,Alappuzha,Independent House,0,6,788,6,Low,3.92,2,25.45,25-30,48.63,13.83,14.25,3.04%,17.83,0,1,,,
IN-KL-ELC-95979298,95979298,1/23/2023,Monday,2,4,IN_KL_ERN,Ernakulam,Villa,1,3,511,12,Medium,2.95,1,31.06,>30,71.12,13.12,18.85,43.65%,16.28,1,1,,,
IN-KL-ELC-34699748,34699748,1/2/2023,Monday,2,1,IN_KL_ERN,Ernakulam,Independent House,0,1,2168,13,Medium,4.28,2,29.75,25-30,72.86,12.02,12.70,5.66%,16.43,0,0,,,
IN-KL-ELC-43990463,43990463,1/29/2023,Sunday,1,5,IN_KL_ALP,Alappuzha,Independent House,0,3,1361,21,High,7.24,3,34.19,>30,64.22,20.49,31.99,56.10%,17.83,1,1,,,
IN-KL-ELC-96449063,96449063,1/1/2023,Sunday,1,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,6,1218,20,High,5.20,3,33.07,>30,80,21.65,21.95,1.39%,17.26,0,1,,,
IN-KL-ELC-75763311,75763311,1/29/2023,Sunday,1,5,IN_KL_TVM,Thiruvananthapuram,Villa,1,2,2736,10,Low,7.84,3,32.60,>30,73.15,15.36,14.08,-8.33%,16.02,0,0,,,
IN-KL-ELC-29028684,29028684,1/26/2023,Thursday,5,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2467,6,Low,3.00,1,32.47,>30,82.77,12.39,13.57,9.52%,17.26,0,1,,,
IN-KL-ELC-36954958,36954958,1/13/2023,Friday,6,2,IN_KL_ALP,Alappuzha,Villa,1,2,1580,8,Low,4.81,2,30.77,>30,48.45,11.94,12.45,4.27%,16.26,0,0,,,
IN-KL-ELC-23402388,23402388,1/27/2023,Friday,6,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,4,2441,21,High,6.64,3,33.49,>30,79.87,20.97,20.43,-2.58%,16.89,0,1,,,
